Sample,Tissue,Sex,Age
GTEX-ZDXO-0011-R1a-SM-4WKF4,Hippocampus,Female,60.0
GTEX-13NZA-0011-R1b-SM-5LUAF,Hippocampus,Female,64.0
GTEX-13FHP-0011-R1b-SM-5K7XL,Hippocampus,Female,56.0
GTEX-RNOR-0011-R1A-SM-5SI8F,Hippocampus,Female,52.0
GTEX-12WSM-0011-R8a-SM-5DUWJ,Hypothalamus,Male,63.0
GTEX-13JVG-0011-R8a-SM-5KM3E,Hypothalamus,Male,64.0
GTEX-13OW8-0011-R8a-SM-5L3G5,Hypothalamus,Male,66.0
GTEX-T6MN-0011-R8A-SM-32QP3,Hypothalamus,Male,51.0
GTEX-WWYW-0011-R8A-SM-3NB3S,Hypothalamus,Male,52.0
GTEX-NL3H-0011-R8a-SM-5S2VF,Hypothalamus,Female,60.0
GTEX-11OF3-0011-R8b-SM-57WCS,Hypothalamus,Female,63.0
GTEX-13FXS-0011-R8a-SM-5J1MN,Hypothalamus,Female,59.0
GTEX-13FLW-0011-R8b-SM-5J1MZ,Hypothalamus,Female,57.0
GTEX-ZAB4-0011-R8b-SM-4SOKF,Hypothalamus,Female,47.0
GTEX-QDT8-0011-R6A-SM-32PKI,Nucleus_Accumbens,Male,30.0
GTEX-XMD1-0011-R6A-SM-4AT5K,Nucleus_Accumbens,Male,67.0
GTEX-ZVZQ-0011-R6b-SM-57WAY,Nucleus_Accumbens,Male,62.0
GTEX-12WSE-0011-R6b-SM-5LZV5,Nucleus_Accumbens,Male,25.0
GTEX-14BIN-0011-R6a-SM-5S2RH,Nucleus_Accumbens,Male,56.0
GTEX-13FHO-0011-R6b-SM-5LZX1,Nucleus_Accumbens,Female,61.0
GTEX-WVLH-0011-R6A-SM-3MJFZ,Nucleus_Accumbens,Female,58.0
GTEX-13FHP-0011-R6b-SM-5LZY6,Nucleus_Accumbens,Female,56.0
GTEX-13FLW-0011-R6b-SM-5L3EN,Nucleus_Accumbens,Female,57.0
GTEX-P44H-0011-R6A-SM-2XCF3,Nucleus_Accumbens,Female,43.0
GTEX-12ZZX-0011-R7b-SM-5DUVV,Putamen,Male,49.0
GTEX-P44G-0011-R7A-SM-2I3F9,Putamen,Female,34.0
GTEX-ZV68-0011-R7a-SM-51MT4,Putamen,Male,57.0
GTEX-12WSD-0011-R7b-SM-5PNWE,Putamen,Male,64.0
GTEX-N7MS-0011-R7a-SM-2HMKN,Putamen,Male,61.0
GTEX-1445S-0011-R7b-SM-5PNUG,Putamen,Male,64.0
GTEX-YFC4-0011-R7b-SM-4V6E2,Putamen,Female,47.0
GTEX-OHPN-0011-R7A-SM-2I5FI,Putamen,Female,61.0
GTEX-WVLH-0011-R7A-SM-3MJFB,Putamen,Female,58.0
GTEX-13FLW-0011-R7b-SM-5L3EZ,Putamen,Female,57.0
GTEX-WL46-0011-R9A-SM-3MJFP,Spinal_Cord,Female,53.0
GTEX-YJ89-0011-R9a-SM-4SOK7,Spinal_Cord,Male,60.0
GTEX-ZVZQ-0011-R9a-SM-51MRH,Spinal_Cord,Male,62.0
GTEX-ZAB4-0011-R9a-SM-4SOKG,Spinal_Cord,Male,47.0
GTEX-139UC-0011-R9a-SM-5K7W7,Spinal_Cord,Male,67.0
GTEX-13FTY-0011-R9b-SM-5KM2U,Spinal_Cord,Female,49.0
GTEX-R55E-0011-R9A-SM-2TC6C,Spinal_Cord,Male,22.0
GTEX-RU72-0011-R9A-SM-2TF67,Spinal_Cord,Female,59.0
GTEX-YFC4-0011-R9a-SM-4SOK4,Spinal_Cord,Female,47.0
GTEX-13FXS-0011-R9a-SM-5K7UI,Spinal_Cord,Female,59.0
GTEX-13OW8-0011-R2a-SM-5L3G2,Substantia_Nigra,Male,66.0
GTEX-12WSD-0011-R2a-SM-5LZWB,Substantia_Nigra,Male,64.0
GTEX-12ZZX-0011-R2a-SM-5EGLG,Substantia_Nigra,Male,49.0
GTEX-13X6I-0011-R2b-SM-5PNWQ,Substantia_Nigra,Male,65.0
GTEX-NPJ8-0011-R2a-SM-2TC6M,Substantia_Nigra,Male,40.0
GTEX-YFC4-0011-R2a-SM-4V6DZ,Substantia_Nigra,Female,47.0
GTEX-ZDXO-0011-R2b-SM-4WKFG,Substantia_Nigra,Female,60.0
GTEX-11GSO-0011-R2a-SM-57WDF,Substantia_Nigra,Female,61.0
GTEX-13CF2-0011-R2a-SM-5L3DC,Substantia_Nigra,Female,61.0
GTEX-13FXS-0011-R2b-SM-5K7XX,Substantia_Nigra,Female,59.0

